"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 08 07:04:47 GMT 2025","Wed Oct 08 07:04:49 GMT 2025","1945","","tests.UiPomTests","","tests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Wed Oct 08 07:04:45 GMT 2025","Wed Oct 08 07:04:46 GMT 2025","1191","","tests.ApiTests","","tests.ApiTests","createUser2","createUser2()",""
"passed","Wed Oct 08 07:04:47 GMT 2025","Wed Oct 08 07:04:47 GMT 2025","389","","tests.ApiTests","","tests.ApiTests","createUser","createUser()",""
"passed","Wed Oct 08 07:04:42 GMT 2025","Wed Oct 08 07:04:45 GMT 2025","2604","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=null, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"broken","Wed Oct 08 07:04:50 GMT 2025","Wed Oct 08 07:04:50 GMT 2025","199","","tests.UiTests","","tests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Wed Oct 08 07:04:45 GMT 2025","Wed Oct 08 07:04:45 GMT 2025","406","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=null, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=null)",""
"broken","Wed Oct 08 07:04:49 GMT 2025","Wed Oct 08 07:04:49 GMT 2025","207","","tests.UiTests","","tests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"broken","Wed Oct 08 07:04:49 GMT 2025","Wed Oct 08 07:04:50 GMT 2025","206","","tests.UiTests","","tests.UiTests","submitWebFormTest","submitWebFormTest()",""
"broken","Wed Oct 08 07:04:49 GMT 2025","Wed Oct 08 07:04:49 GMT 2025","229","","tests.UiSelenideTests","","tests.UiSelenideTests","submitWebFormSelenideTest","submitWebFormSelenideTest()",""
"passed","Wed Oct 08 07:04:46 GMT 2025","Wed Oct 08 07:04:47 GMT 2025","364","","tests.ApiTests","","tests.ApiTests","createUserControllerTest","createUserControllerTest()",""
