"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 06:18:36 GMT 2025","Thu Oct 09 06:18:38 GMT 2025","2131","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=null, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"passed","Thu Oct 09 06:18:53 GMT 2025","Thu Oct 09 06:18:54 GMT 2025","1335","","tests.UiTests","","tests.UiTests","submitWebFormTest","submitWebFormTest()",""
"passed","Thu Oct 09 06:18:39 GMT 2025","Thu Oct 09 06:18:39 GMT 2025","90","","tests.ApiTests","","tests.ApiTests","createUserControllerTest","createUserControllerTest()",""
"passed","Thu Oct 09 06:18:39 GMT 2025","Thu Oct 09 06:18:42 GMT 2025","3105","","tests.UiPomTests","","tests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Thu Oct 09 06:18:39 GMT 2025","Thu Oct 09 06:18:39 GMT 2025","92","","tests.ApiTests","","tests.ApiTests","createUser","createUser()",""
"passed","Thu Oct 09 06:18:38 GMT 2025","Thu Oct 09 06:18:39 GMT 2025","849","","tests.ApiTests","","tests.ApiTests","createUser2","createUser2()",""
"passed","Thu Oct 09 06:18:55 GMT 2025","Thu Oct 09 06:19:03 GMT 2025","8431","","tests.UiTests","","tests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Thu Oct 09 06:18:38 GMT 2025","Thu Oct 09 06:18:38 GMT 2025","84","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=null, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=null)",""
"failed","Thu Oct 09 06:18:42 GMT 2025","Thu Oct 09 06:18:44 GMT 2025","1226","","tests.UiSelenideTests","","tests.UiSelenideTests","submitWebFormSelenideTest","submitWebFormSelenideTest()",""
"passed","Thu Oct 09 06:18:44 GMT 2025","Thu Oct 09 06:18:53 GMT 2025","9455","","tests.UiTests","","tests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
